"lǚ xíng";"travel";"chinese verbs"
"hē";"drink";"chinese verbs"
"chī";"eat";"chinese verbs"
"mǎi";"buy";"chinese verbs"
"mài";"sell";"chinese verbs"
"qù";"go";"chinese verbs"
"zǒu";"walk";"chinese verbs"
"yóuyǒng";"swim";"chinese verbs"
"zhī dào";"know";"chinese verbs"
"shuì";"sleep";"chinese verbs"
"jiàn";"see";"chinese verbs"
"qǐng";"please";"chinese phrases"
"Nǐ hǎo mā?";"How are you?";"chinese phrases"
"Wǒ hěn hǎo.";"I'm fine.";"chinese phrases"
"Nǐ jiào ming zi?";"What is your name?";"chinese phrases"
"Wǒ jiào X.";"My name is X.";"chinese phrases"
"(Wǒ) hěn hǎo xìng rèn shi nǐ.";"Nice to meet you.";"chinese phrases"
"Nǐ shì něi guó rén?";"Where are you from?";"chinese phrases"
"Wǒ shì Jié kè rén.";"I am Czech.";"chinese phrases"
"zài jiàn";"good bye (see you again)";"chinese phrases"
"Wo shì xúe shēng.";"I am student.";"chinese phrases"
"Nǐ xuě shénme?";"What are you studying?";"chinese phrases"
"Hǎo bù hǎo?";"Good or bad? (Do you agree?)";"chinese phrases"
"Dǒng bù dǒng?";"Do you understand?";"chinese phrases"
"Zhè shì shénme?";"What is this?";"chinese phrases"
"Nà shì shénme?";"What is that?";"chinese phrases"
"Qǐng zuò.";"Please, sit down.";"chinese phrases"
"Nǐ hěn piào liàng.";"Yo are pretty.";"chinese phrases"
"Nǐ bú piào liàng.";"Yo are not pretty.";"chinese phrases"
"Nǐ bú hěn piào liàng.";"Yo are little bit pretty.";"chinese phrases"
"Tā piào liàng mā?";"Is she pretty?";"chinese phrases"
"Nǐ ě mā?";"Are you hungry?";"chinese phrases"
"Wǒ hěn è.";"I am hungry.";"chinese phrases"
"Wǒ men qù chí fàn ba!";"Let's go eat!";"chinese phrases"
"Wǒ men zǒu ba!";"Let's go.!";"chinese phrases"
"Wǒ yào zǒu le.";"I am leaving. / I need to go.";"chinese phrases"
"Nǐ xǐ huān shénme ròu?";"What meat do you like?";"chinese phrases"
"Nǐ máng mā?";"Are you busy?";"chinese phrases"
"Nǐ máng bú mā?";"Are you busy or not?";"chinese phrases"
"Nǐ hěn máng mā?";"Are you really busy?";"chinese phrases"
"Zhēnde?";"Really?";"chinese phrases"
"Wǒ zhénde hěn è.";"I am really hungry.";"chinese phrases"
"Wǒ hěn máng.";"I am busy.";"chinese phrases"
"Zhōng Qiū Jié kuài lè";"Happy Moon Festival!";"chinese phrases"
"Shēng rì kuà lè";"Happy birthday!";"chinese phrases"
"Qǐng, zài shuō yí cì.";"Please, say it again.";"chinese phrases"
"Hǎo jiǔ bù jiàn";"Long time no see";"chinese phrases"
"Qǐng zài shuō yiěci.";"Please repeat.";"chinese phrases"
"Qǐng dà shēng yìdiǎn.";"Please louder.";"chinese phrases"
"Hǎo bùhǎo?";"Is it OK?";"chinese phrases"
"Hěn hǎo";"Very good.";"chinese phrases"
"Hǎole ma?";"Are you done? Are you ready?";"chinese phrases"
"Hái méi (hǎo)";"Not yet!";"chinese phrases"
"Duì bǔduì?";"Is it correct?";"chinese phrases"
"dǒng bùdǒng";"Do you understand?";"chinese phrases"
"Wǒ dǒng le.";"I understood.";"chinese phrases"
"Qǐngwèn";"May I ask...";"chinese phrases"
"gēn wǒ shuō";"Repeat after me.";"chinese phrases"
"yìshēng";"the lst tone";"chinese phrases"
"èr shēng";"the 2nd tone";"chinese phrases"
"sān shēng";"the 3rd tone";"chinese phrases"
"sì shēng";"the 4th tone";"chinese phrases"
"qīng shēng";"neutral tone";"chinese phrases"
"liànxí";"practice, exercise";"chinese phrases"
"shàng k4";"go to class, in class";"chinese phrases"
"děng yí xià";"wait a moment";"chinese phrases"
